NAME,CZ,LOGMSTAR,MODELU_RCORR,R90,MORPHEL,GRPCZ,FC,LOGMH,DEN1MPC
ECO02945,6477.5,10.63,2.35,20.0,E,6412.7,1,11.81,5.46
ECO02946,6630.7,9.99,0.91,12.1,L,6630.7,1,11.61,0.23
ECO02947,3662.6,10.25,1.16,41.1,L,3578.4,0,12.84,1.85
ECO02948,6574.1,9.97,1.03,20.4,L,6621.4,1,11.74,1.12
ECO02949,3127.7,10.05,1.91,31.1,L,3056.3,1,11.47,1.37
ECO02950,6668.6,9.73,0.83,25.6,L,6621.4,0,11.74,1.13
ECO02951,5668.8,11.11,2.27,85.6,L,6266.8,0,14.19,10.21
ECO02952,5791.4,9.31,0.96,32.9,L,5791.4,1,11.26,0.62
ECO02953,5972.1,10.73,2.19,28.4,L,6118.6,0,13.45,2.39
ECO02954,2793.2,8.79,0.75,22.5,L,2793.2,1,10.93,0.29
ECO02955,6106.2,10.81,2.36,35.0,E,6118.6,0,13.45,2.47
ECO02956,6051.5,9.25,0.84,31.2,L,6053.1,1,11.23,0.78
ECO02957,5686.5,10.85,2.17,47.7,E,5719.9,1,12.55,1.48
ECO02958,6046.4,10.89,1.78,36.3,E,6118.6,0,13.45,2.48
ECO02959,6911.7,10.01,1.83,49.8,E,6911.7,1,11.72,0.36
ECO02960,5869.0,9.97,2.14,19.4,L,6266.8,0,14.19,10.36
ECO02961,6105.7,10.23,2.03,26.0,L,6105.7,1,11.55,0.48
ECO02962,2984.9,9.31,1.03,31.7,L,3056.3,0,11.47,1.45
ECO02963,6358.9,10.71,2.57,25.8,E,6288.2,0,12.89,2.5
ECO02964,5908.9,10.27,1.18,29.6,L,6266.8,0,14.19,11.39
ECO02965,7288.5,10.77,2.37,26.5,E,7300.2,1,11.99,1.06
ECO02966,6365.3,11.09,2.18,39.8,E,6118.6,1,13.45,2.42
ECO02967,3078.1,9.61,0.77,27.7,L,3078.1,1,11.39,0.91
ECO02968,6247.8,10.23,1.44,33.3,L,6247.8,1,11.65,0.57
ECO02969,7072.1,9.79,0.96,15.6,L,7072.1,1,11.49,0.18
ECO02970,6243.2,10.01,1.37,21.8,L,6288.2,0,12.89,2.59
ECO02971,6416.0,10.23,1.26,29.8,L,6288.2,0,12.89,2.53
ECO02972,6259.5,10.31,1.37,29.6,L,6266.8,0,14.19,10.58
ECO02973,5369.8,9.05,0.73,10.5,L,5368.5,0,11.75,0.78
ECO02974,5955.7,10.41,2.39,19.1,E,6266.8,0,14.19,10.48
ECO02975,4297.4,10.27,2.33,27.6,L,4297.4,1,11.39,0.17
ECO02976,7097.0,10.79,2.05,38.6,L,7108.7,1,12.34,1.7
ECO02977,6770.5,10.55,1.98,36.6,L,6736.2,1,11.96,1.12
ECO02978,7435.6,10.65,2.41,26.7,L,7435.6,1,11.82,0.85
ECO02979,6283.2,10.29,2.2,29.1,E,6175.7,1,11.62,9.4
ECO02980,6458.5,10.67,1.57,60.6,L,6458.5,1,11.75,0.92
ECO02981,6298.6,9.39,0.82,14.5,L,6384.5,1,11.52,0.92
ECO02982,3458.4,9.35,1.26,29.7,L,3458.4,1,11.03,0.77
ECO02983,6029.5,10.71,2.18,53.9,L,6266.8,0,14.19,11.05
ECO02984,6162.5,9.49,0.75,18.5,L,6158.6,1,11.41,0.6
ECO02985,5951.8,10.49,1.27,36.9,L,5918.2,1,12.28,2.05
ECO02986,5906.4,9.59,1.0,16.3,L,5918.2,0,12.28,2.07
ECO02987,2695.2,9.65,1.27,31.5,L,2766.2,0,11.93,0.97
ECO02988,7398.7,10.11,0.93,22.1,L,7398.7,1,11.59,0.19
ECO02989,6864.2,9.81,0.78,19.1,L,6864.2,1,11.5,1.93
ECO02990,6856.6,10.67,1.46,60.7,L,6870.5,1,12.6,2.22
ECO02991,5854.9,11.05,2.18,95.4,L,5826.9,1,12.69,1.55
ECO02992,6710.8,10.81,2.35,31.6,E,6710.8,1,11.93,1.36
ECO02993,5896.5,10.11,1.15,16.3,L,5918.2,0,12.28,2.0
ECO02994,6812.9,10.49,2.27,22.6,E,6266.8,0,14.19,10.24
ECO02995,6645.7,10.41,0.79,50.1,L,6266.8,0,14.19,12.68
ECO02996,5810.4,10.13,0.79,26.2,L,5968.5,1,12.37,1.99
ECO02997,5784.9,10.57,2.15,27.0,L,5784.9,1,11.99,1.38
ECO02998,3592.9,10.85,2.4,81.7,E,3625.4,1,12.22,1.35
ECO02999,6241.0,11.03,2.33,45.9,E,6266.8,0,14.19,11.72
ECO03000,6338.8,9.75,0.93,25.7,L,6266.8,0,14.19,11.74
ECO03001,7296.3,10.37,1.32,29.1,L,7217.2,1,12.55,3.47
ECO03002,5539.7,10.13,2.27,16.7,E,5426.7,0,13.14,1.96
ECO03003,6734.2,10.77,2.36,34.3,E,6266.8,0,14.19,12.33
ECO03004,4822.0,9.15,0.8,29.0,L,4817.7,0,11.51,0.49
ECO03005,6172.1,11.51,2.28,93.5,E,6266.8,1,14.19,12.36
ECO03006,6252.3,10.85,2.28,47.3,E,6266.8,0,14.19,12.53
ECO03007,5580.0,10.49,2.11,55.2,E,5426.7,0,13.14,2.13
ECO03008,3210.0,9.77,2.15,23.2,E,3266.0,0,12.01,3.17
ECO03009,6290.0,10.21,1.18,27.0,L,6290.0,1,11.55,0.56
ECO03010,6665.2,10.65,2.22,30.7,E,6266.8,0,14.19,11.08
ECO03011,6296.1,10.41,1.88,31.4,L,6266.8,0,14.19,11.36
ECO03012,6303.9,10.59,2.53,33.7,E,6266.8,0,14.19,11.09
ECO03013,6266.0,10.55,2.36,20.6,E,6266.8,0,14.19,12.59
ECO03014,5471.3,10.37,2.34,27.9,E,5426.7,0,13.14,2.14
ECO03015,5756.1,9.61,0.85,27.0,L,5756.1,1,11.36,1.24
ECO03016,3237.5,9.13,0.89,19.9,L,3237.5,1,10.98,3.12
ECO03017,7171.6,10.41,2.15,31.1,E,7217.2,0,12.55,3.85
ECO03018,4367.2,9.97,2.36,21.7,E,4367.2,1,11.2,0.16
ECO03019,7328.1,9.97,2.15,15.7,E,7217.2,0,12.55,3.49
ECO03020,7144.4,10.35,1.71,13.8,E,7062.7,1,11.6,1.85
ECO03021,6033.7,9.47,0.95,16.3,L,6033.7,1,11.27,1.48
ECO03022,6677.0,10.33,2.29,17.2,E,6266.8,0,14.19,12.1
ECO03023,3228.5,10.75,2.33,90.3,E,3266.0,1,12.01,3.21
ECO03024,5987.0,10.59,2.31,43.6,L,5968.5,0,12.37,1.89
ECO03025,6647.5,10.53,2.11,22.9,E,6266.8,0,14.19,6.09
ECO03026,7130.9,10.03,2.13,16.3,L,7217.2,0,12.55,3.85
ECO03027,6503.9,10.77,1.71,33.1,L,6266.8,0,14.19,9.31
ECO03028,5525.4,10.53,1.92,42.4,L,5426.7,0,13.14,2.11
ECO03029,6201.1,10.61,2.43,27.7,E,6266.8,0,14.19,11.81
ECO03030,5568.2,10.21,1.38,37.2,L,6266.8,0,14.19,11.35
ECO03031,2614.3,9.99,1.53,51.7,L,2614.3,1,11.45,0.31
ECO03032,4996.4,10.71,1.53,62.8,L,5426.7,1,13.14,2.08
ECO03033,6396.7,10.87,2.15,36.7,L,6266.8,0,14.19,11.33
ECO03034,6402.0,11.49,2.17,99.3,E,6266.8,0,14.19,11.17
ECO03035,6791.5,10.69,1.71,43.3,L,6892.9,0,12.64,3.3
ECO03036,4360.9,10.55,2.22,62.8,L,4360.9,1,11.95,0.16
ECO03037,5986.4,9.99,1.33,17.9,L,5986.4,1,11.32,2.83
ECO03038,6766.8,10.33,2.28,23.0,L,6266.8,0,14.19,11.04
ECO03039,6422.9,10.51,2.31,26.0,E,6439.5,1,11.7,0.68
ECO03040,6938.0,10.85,2.38,32.3,E,6892.9,1,12.64,3.43
ECO03041,6883.0,10.79,2.45,28.3,E,6829.4,1,11.88,4.29
ECO03042,4193.7,10.43,1.16,43.0,L,4193.7,1,11.89,0.21
ECO03043,6920.9,11.25,2.41,77.3,E,6839.6,1,12.96,0.95
ECO03044,2742.3,9.45,1.16,31.7,L,2746.2,1,11.37,0.46
ECO03045,3803.1,9.39,1.34,16.8,E,3803.1,1,11.05,0.24
ECO03046,7405.7,11.15,2.26,58.2,L,7310.4,1,12.75,2.25
ECO03047,6308.3,10.69,2.49,20.4,E,6266.8,0,14.19,10.91
ECO03048,6294.4,10.17,1.97,29.7,L,6290.9,1,11.73,2.34
ECO03049,5914.4,10.61,1.85,27.6,E,5914.4,1,11.77,0.9
ECO03050,6161.7,10.47,2.33,39.6,L,6161.7,1,11.53,1.6
ECO03051,6204.4,10.39,2.34,14.7,E,6204.4,1,11.53,1.73
ECO03052,5247.9,9.09,0.68,20.4,L,5426.7,0,13.14,1.95
ECO03053,5318.7,11.05,2.31,56.8,E,6266.8,0,14.19,10.21
ECO03054,4236.6,10.37,2.4,22.9,E,4235.3,1,11.69,0.61
ECO03055,2906.8,10.71,2.55,41.1,E,2943.9,1,11.8,0.96
ECO03056,5827.2,9.67,0.76,35.5,L,5827.2,1,11.42,1.0
ECO03057,6964.1,10.17,1.14,27.9,L,6964.1,1,11.56,3.27
ECO03058,5329.3,9.85,0.89,25.9,L,5329.3,1,11.52,0.27
ECO03059,7031.8,11.01,2.39,62.3,L,7097.9,1,12.39,3.1
